name,url,phone,street_address,city,state,postal_code,country,latitude,longitude,currency,low_price,high_price,amenities,image_url,nearestShuttleComment,nearestTransitComment
The Hayes on Stone Way,https://www.apartments.com/the-hayes-on-stone-way-seattle-wa/57zcdkm/,,3627 Stone Way N,Seattle,WA,98103,US,,,USD,,,,,Takes 4.1 mins to the nearest Microsoft shuttle stop at N 35th St & Woodland Park Ave N,
Met Tower,https://www.apartments.com/met-tower-seattle-wa/qjgvn6y/,,1942-1942 Westlake Ave,Seattle,WA,98101,US,,,USD,,,,,Takes 4.2 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Velo and Ray,https://www.apartments.com/velo-and-ray-seattle-wa/h4x54t2/,5093484671,3636 Stone Way N,Seattle,WA,98103,US,,,USD,,,,,Takes 4.3 mins to the nearest Microsoft shuttle stop at N 35th St & Woodland Park Ave N,
Gables Queen Anne,https://www.apartments.com/gables-queen-anne-seattle-wa/vh40zlg/,,21 Boston St,Seattle,WA,98109,US,,,USD,,,,,Takes 4.4 mins to the nearest Microsoft shuttle stop at 9 W McGraw St,
AJ,https://www.apartments.com/aj-seattle-wa/n6erncm/,4255295734,4505 42nd Ave SW,Seattle,WA,98116,US,,,USD,,,,,Takes 4.6 mins to the nearest Microsoft shuttle stop at 4400 42nd Ave SW,
2900 on First,https://www.apartments.com/2900-on-first-seattle-wa/6bc5xqv/,8777346710,2900 1st Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 4.6 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
First Light,https://www.apartments.com/first-light-seattle-wa/0d0eb60/,2065934350,300 Virginia St,Seattle,WA,98101,US,,,USD,,,Pool,,Takes 4.7 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Centennial Tower &amp;amp; Court,https://www.apartments.com/centennial-tower-court-seattle-wa/49dmkrl/,,2515 4th Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 4.7 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
The Cline,https://www.apartments.com/the-cline-seattle-wa/jtjckp6/,2066357916,3665 Stone Way N,Seattle,WA,98103,US,,,USD,,,,,Takes 4.7 mins to the nearest Microsoft shuttle stop at N 35th St & Woodland Park Ave N,
Marq 211,https://www.apartments.com/marq-211-seattle-wa/66mq35t/,,211 Lenora St,Seattle,WA,98121,US,,,USD,,,,,Takes 4.8 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Stack House,https://www.apartments.com/stack-house-seattle-wa/r9splt0/,,1280 Harrison St,Seattle,WA,98109,US,,,USD,,,,,Takes 4.9 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Zella Apartments,https://www.apartments.com/zella-apartments-seattle-wa/fbcpdps/,2068990948,429 2nd Ave W,Seattle,WA,98119,US,,,USD,,,,,Takes 4.9 mins to the nearest Microsoft shuttle stop at Queen Anne Ave N & W Harrison St,
The Shelby Apartments,https://www.apartments.com/the-shelby-apartments-seattle-wa/cd611cd/,,2201 4th Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 5 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Kaye,https://www.apartments.com/kaye-seattle-wa/svne367/,,2208 4th Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 5.1 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
McKenzie,https://www.apartments.com/mckenzie-seattle-wa/tc4dx7b/,,2202 Eighth Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 5.1 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Sitka,https://www.apartments.com/sitka-seattle-wa/5235n3m/,,1255 Harrison St,Seattle,WA,98109,US,,,USD,,,,,Takes 5.4 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Queen Anne Collection,https://www.apartments.com/queen-anne-collection-seattle-wa/zg71yyx/,2062073046,1900 Queen Anne Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 5.5 mins to the nearest Microsoft shuttle stop at 9 W McGraw St,
Olympus,https://www.apartments.com/olympus-seattle-wa/vyeqn7d/,2062225194,2801 Western Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 5.6 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
Roystone,https://www.apartments.com/roystone-seattle-wa/prp3nev/,,5 W Roy St,Seattle,WA,98119,US,,,USD,,,,,Takes 5.6 mins to the nearest Microsoft shuttle stop at Queen Anne Ave N & W Harrison St,
Sidney Apartments,https://www.apartments.com/sidney-apartments-seattle-wa/wnwrg5l/,,400 Wall St,Seattle,WA,98121,US,,,USD,,,,,Takes 5.7 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
3ZERO3,https://www.apartments.com/3zero3-seattle-wa/m9j2rwh/,,303 Battery St,Seattle,WA,98121,US,,,USD,,,,,Takes 5.8 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
206 Bell Apartments,https://www.apartments.com/206-bell-apartments-seattle-wa/3v1hy4e/,,206 Bell St,Seattle,WA,98121,US,,,USD,,,,,Takes 6.1 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
Axis,https://www.apartments.com/axis-seattle-wa/8j6c370/,,123 2nd Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 6.2 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
Chic Wallingford townhouse near Gas Works Park,https://www.apartments.com/chic-wallingford-townhouse-near-gas-works-park-seattle-wa/se2kbg6/,,3640 Interlake Ave N,Seattle,WA,98103,US,,,USD,,,,,Takes 6.4 mins to the nearest Microsoft shuttle stop at N 35th St & Woodland Park Ave N,
AMLI South Lake Union,https://www.apartments.com/amli-south-lake-union-seattle-wa/wec85fk/,,1260 Republican St,Seattle,WA,98109,US,,,USD,,,,,Takes 6.5 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
One Lakefront,https://www.apartments.com/one-lakefront-seattle-wa/7yvbetw/,2062225493,1287 Westlake Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 6.5 mins to the nearest Microsoft shuttle stop at 1101 Dexter Ave N,
Tower 12,https://www.apartments.com/tower-12-seattle-wa/sx3e5w7/,,2015 2nd Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 6.6 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Aperture on Fifth,https://www.apartments.com/aperture-on-fifth-seattle-wa/wq94pvl/,2064830174,206 5th Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 6.6 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
REN,https://www.apartments.com/ren-seattle-wa/6g8h8hr/,,2014 Fairview Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 6.7 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
1075 Lenora,https://www.apartments.com/1075-lenora-seattle-wa/qp9nbjz/,8669922595,1075 Lenora St,Seattle,WA,98121,US,,,USD,,,Pets Allowed; Fitness Center; Pool; In Unit Washer &amp; Dryer,,Takes 6.7 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Mercerview Apartments,https://www.apartments.com/mercerview-apartments-seattle-wa/93v6nz6/,2065573763,1200 Mercer St,Seattle,WA,98109,US,,,USD,,,,,Takes 6.8 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Moda,https://www.apartments.com/moda-seattle-wa/nlqgvcm/,2062226347,2312 3rd Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 6.9 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
Welcome to Dexter Hayes! Modern convenience with exceptional views!,https://www.apartments.com/welcome-to-dexter-hayes-modern-convenience-with-exceptional-views-seattle-wa/f00tvjr/,2065934220,1701 Dexter Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 6.9 mins to the nearest Microsoft shuttle stop at 1101 Dexter Ave N,
Broadstone Vin,https://www.apartments.com/broadstone-vin-seattle-wa/wss2s7l/,2066812849,4106 N Stone Way,Seattle,WA,98103,US,,,USD,,,,,Takes 7 mins to the nearest Microsoft shuttle stop at N 45th St & Stone Way N,
Rollin Street Flats,https://www.apartments.com/rollin-street-flats-seattle-wa/hjg8c83/,,120 Westlake Ave,Seattle,WA,98109,US,,,USD,,,,,Takes 7.1 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Epicenter,https://www.apartments.com/epicenter-seattle-wa/j3dvz74/,2068956408,620 N 34th St,Seattle,WA,98103,US,,,USD,,,,,Takes 7.1 mins to the nearest Microsoft shuttle stop at Phinney Ave N & N 36th St,
The Confidential,https://www.apartments.com/the-confidential-seattle-wa/cweh7dg/,,2315 4th Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 7.2 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
Milan Apartments,https://www.apartments.com/milan-apartments-seattle-wa/brpjwt8/,4254488662,4300 Aurora Ave N,Seattle,WA,98103,US,,,USD,,,,,Takes 7.3 mins to the nearest Microsoft shuttle stop at N 45th St & Stone Way N,
The Goodwin,https://www.apartments.com/the-goodwin-seattle-wa/2mf35fc/,2069059125,2233 1st Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 7.3 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
2nd and John,https://www.apartments.com/2nd-and-john-seattle-wa/1cdhg97/,4255228850,200 2nd Ave W,Seattle,WA,98119,US,,,USD,,,,,Takes 7.3 mins to the nearest Microsoft shuttle stop at Queen Anne Ave N & W Harrison St,
Orion,https://www.apartments.com/orion-seattle-wa/sjcjs87/,8666116547,910 John St,Seattle,WA,98109,US,,,USD,,,,,Takes 7.4 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Fountain Court,https://www.apartments.com/fountain-court-seattle-wa/renq601/,4255228687,2400 4th Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 7.4 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
Skye Apartments,https://www.apartments.com/skye-apartments-seattle-wa/cvvye8f/,,500 Wall St,Seattle,WA,98121,US,,,USD,,,,,Takes 7.5 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
The Ivey on Boren,https://www.apartments.com/the-ivey-on-boren-seattle-wa/738xtcx/,,2019 Boren Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 7.5 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
110 Roy Apartments,https://www.apartments.com/110-roy-apartments-seattle-wa/swv1xf7/,,110 Roy St,Seattle,WA,98109,US,,,USD,,,,,Takes 7.8 mins to the nearest Microsoft shuttle stop at Queen Anne Ave N & W Harrison St,
Mark on 8th,https://www.apartments.com/mark-on-8th-seattle-wa/j0fwr05/,2066871175,285 8th Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 7.8 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Tellus on Dexter,https://www.apartments.com/tellus-on-dexter-seattle-wa/2t6p4k8/,,403 Dexter Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 7.8 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
The Summit at Lake Union,https://www.apartments.com/the-summit-at-lake-union-seattle-wa/l70dyjd/,2064721087,1735 Dexter Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 8.1 mins to the nearest Microsoft shuttle stop at 1101 Dexter Ave N,
Skyglass,https://www.apartments.com/skyglass-seattle-wa/zrx1t0z/,,757 Thomas St,Seattle,WA,98109,US,,,USD,,,,,Takes 8.3 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Viktoria,https://www.apartments.com/viktoria-seattle-wa/vhsqwbf/,2062101414,1915 2nd Ave,Seattle,WA,98101,US,,,USD,,,,,Takes 8.3 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
The Waverly,https://www.apartments.com/the-waverly-seattle-wa/pfdbj8s/,,210 8th Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 8.4 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
The Olivian,https://www.apartments.com/the-olivian-seattle-wa/srj9ny6/,2062101829,809 Olive Way,Seattle,WA,98101,US,,,USD,,,,,Takes 8.4 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
1611 on Lake Union,https://www.apartments.com/1611-on-lake-union-seattle-wa/9s1w957/,2065892393,1611 8th Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 8.4 mins to the nearest Microsoft shuttle stop at 1101 Dexter Ave N,
Grand Vue Lofts,https://www.apartments.com/grand-vue-lofts-seattle-wa/53s4r4p/,5736159867,4035 Stone Way N,Seattle,WA,98103,US,,,USD,,,,,Takes 8.7 mins to the nearest Microsoft shuttle stop at N 45th St & Stone Way N,
Eclipse Fremont Apartments,https://www.apartments.com/eclipse-fremont-apartments-seattle-wa/95ct8k6/,,909 N 39th St,Seattle,WA,98103,US,,,USD,,,,,Takes 8.9 mins to the nearest Microsoft shuttle stop at N 35th St & Woodland Park Ave N,
Griffis Belltown,https://www.apartments.com/griffis-belltown-seattle-wa/wp85ysj/,,2400 Elliott Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 8.9 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
Modera South Lake Union,https://www.apartments.com/modera-south-lake-union-seattle-wa/mdyqhmj/,,435 Dexter Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 8.9 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
624 Yale,https://www.apartments.com/624-yale-seattle-wa/8k03zd2/,,624 Yale Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 9.2 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Nine and Pine,https://www.apartments.com/nine-and-pine-seattle-wa/ebf0nwn/,2062024771,1601 9th Ave,Seattle,WA,98101,US,,,USD,,,,,Takes 9.9 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Helios,https://www.apartments.com/helios-seattle-wa/qb5scwx/,2062102560,1600 2nd Ave,Seattle,WA,98101,US,,,USD,,,,,Takes 10 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Sequel,https://www.apartments.com/sequel-seattle-wa/g7ktb5y/,,1900 1st Ave,Seattle,WA,98101,US,,,USD,,,,,Takes 10 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
4730 California,https://www.apartments.com/4730-california-seattle-wa/frvvjxr/,2067178798,4730 California Ave SW,Seattle,WA,98116,US,,,USD,,,,,Takes 10.2 mins to the nearest Microsoft shuttle stop at 4400 42nd Ave SW,
Kinects Tower,https://www.apartments.com/kinects-tower-seattle-wa/59r318n/,,1823 Minor Ave,Seattle,WA,98101,US,,,USD,,,,,Takes 10.3 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Elan 41,https://www.apartments.com/elan-41-seattle-wa/84egbw0/,,4100 SW Edmunds St SW,Seattle,WA,98116,US,,,USD,,,,,Takes 10.4 mins to the nearest Microsoft shuttle stop at 4400 42nd Ave SW,
Oceana,https://www.apartments.com/oceana-seattle-wa/4n7xxvh/,8557432084,2300 Elliott Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 10.5 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
Premiere on Pine,https://www.apartments.com/premiere-on-pine-seattle-wa/rzcc5x1/,,1525 9th Ave,Seattle,WA,98101,US,,,USD,,,,,Takes 10.6 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Center Steps,https://www.apartments.com/center-steps-seattle-wa/j2gln57/,,225 Roy St,Seattle,WA,98109,US,,,USD,,,,,Takes 10.6 mins to the nearest Microsoft shuttle stop at Queen Anne Ave N & W Harrison St,
Elara at the Market,https://www.apartments.com/elara-at-the-market-seattle-wa/15vbwd5/,,2134 Western Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 10.7 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
The Eden,https://www.apartments.com/the-eden-seattle-wa/0ssts93/,2062089767,602-602 Galer St,Seattle,WA,98109,US,,,USD,,,,,Takes 10.8 mins to the nearest Microsoft shuttle stop at 1101 Dexter Ave N,
Elliott Pointe,https://www.apartments.com/elliott-pointe-seattle-wa/g0wwkhz/,2062078542,2226 Elliott Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 11.6 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
The Residences at Rainier Square,https://www.apartments.com/the-residences-at-rainier-square-seattle-wa/jzf4ey5/,,1340 4th Ave,Seattle,WA,98101,US,,,USD,,,,,Takes 12.8 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Link,https://www.apartments.com/link-seattle-wa/fxs5z3t/,,4550 38th Ave SW,Seattle,WA,98126,US,,,USD,,,,,Takes 13.6 mins to the nearest Microsoft shuttle stop at 4400 42nd Ave SW,
Maris,https://www.apartments.com/maris-seattle-wa/cp18f9d/,2068662048,4722 Fauntleroy Way SW,Seattle,WA,98116,US,,,USD,,,,,Takes 13.7 mins to the nearest Microsoft shuttle stop at 4400 42nd Ave SW,
The LeeAnn,https://www.apartments.com/the-leeann-seattle-wa/65vf8st/,,701 5th Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 14 mins to the nearest Microsoft shuttle stop at 1101 Dexter Ave N,
AVIA on Pike Street,https://www.apartments.com/avia-on-pike-street-seattle-wa/p16bq6v/,,1011 Pike St,Seattle,WA,98101,US,,,USD,,,,,Takes 14.2 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Residences at 3295,https://www.apartments.com/residences-at-3295-seattle-wa/x5l44yq/,8446982519,3295 SW Avalon Way,Seattle,WA,98126,US,,,USD,,,,,Takes 14.2 mins to the nearest Microsoft shuttle stop at 4400 42nd Ave SW,
Pivot Apartments,https://www.apartments.com/pivot-apartments-seattle-wa/382xxsg/,,1208 Pine St,Seattle,WA,98101,US,,,USD,,,,,Takes 14.3 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Forge West Seattle,https://www.apartments.com/forge-west-seattle-seattle-wa/pns15wr/,,4435 35th Ave SW,Seattle,WA,98126,US,,,USD,,,,,Takes 14.5 mins to the nearest Microsoft shuttle stop at 4400 42nd Ave SW,
The Exeter,https://www.apartments.com/the-exeter-seattle-wa/kr9lyg9/,2066871028,720 Seneca St,Seattle,WA,98101,US,,,USD,,,,,Takes 14.8 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Skyline House Apartments,https://www.apartments.com/skyline-house-apartments-seattle-wa/sz40d85/,2062077385,600 W Olympic Pl,Seattle,WA,98119,US,,,USD,,,,,Takes 15.2 mins to the nearest Microsoft shuttle stop at Queen Anne Ave N & W Harrison St,
Ovation,https://www.apartments.com/ovation-seattle-wa/5psz1jn/,,702 Spring St,Seattle,WA,98104,US,,,USD,,,,,Takes 15.7 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Nova,https://www.apartments.com/nova-seattle-wa/zhfzv0x/,2067370846,4600 36th Ave SW,Seattle,WA,98126,US,,,USD,,,,,Takes 15.7 mins to the nearest Microsoft shuttle stop at 4400 42nd Ave SW,
Cielo,https://www.apartments.com/cielo-seattle-wa/teysb79/,,800 Seneca St,Seattle,WA,98101,US,,,USD,,,,,Takes 15.8 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Lightbox,https://www.apartments.com/lightbox-seattle-wa/np3qvbp/,,4545 8th Ave NE,Seattle,WA,98105,US,,,USD,,,,,Takes 15.9 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Marq West Seattle,https://www.apartments.com/marq-west-seattle-seattle-wa/rqnp6r1/,,3261 SW Avalon Way,Seattle,WA,98126,US,,,USD,,,,,Takes 16 mins to the nearest Microsoft shuttle stop at 4400 42nd Ave SW,
The Kennedy Building,https://www.apartments.com/the-kennedy-building-seattle-wa/fd6hspr/,,907 NE 45th St,Seattle,WA,98105,US,,,USD,,,,,Takes 16.5 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Viewmont Apartments,https://www.apartments.com/viewmont-apartments-seattle-wa/wz4wr5h/,2065903044,219 Bellevue Ave E,Seattle,WA,98102,US,,,USD,,,,,Takes 16.7 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
110 NE 40th St,https://www.apartments.com/110-ne-40th-st-seattle-wa/spfnzx4/,4256967638,110 NE 40th St,Seattle,WA,98105,US,,,USD,,,,,Takes 16.8 mins to the nearest Microsoft shuttle stop at N 45th St & Bagley Ave N,
Hawthorne Apartments,https://www.apartments.com/hawthorne-apartments-seattle-wa/cq7qzre/,,1618 Bellevue Ave,Seattle,WA,98122,US,,,USD,,,,,Takes 16.8 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Martinique,https://www.apartments.com/martinique-seattle-wa/vlklcyf/,2069227960,2122 8th Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 16.8 mins to the nearest Microsoft shuttle stop at 1101 Dexter Ave N,
The Mill at First Hill,https://www.apartments.com/the-mill-at-first-hill-seattle-wa/3z5s8mg/,2068097391,1000 8th Ave,Seattle,WA,98104,US,,,USD,,,,,Takes 17.1 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Jet on Boylston,https://www.apartments.com/jet-on-boylston-seattle-wa/6l1vy0r/,8443258931,1820 Boylston Ave,Seattle,WA,98122,US,,,USD,,,,,Takes 18.1 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Zephyr Apartments,https://www.apartments.com/zephyr-apartments-seattle-wa/d7k3enl/,4254487728,1650 E Olive Way,Seattle,WA,98102,US,,,USD,,,,,Takes 18.1 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Terravita Luxury Residences,https://www.apartments.com/terravita-luxury-residences-seattle-wa/kbbv1cc/,2064457192,1615 Belmont Ave,Seattle,WA,98122,US,,,USD,,,,,Takes 18.2 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
AVA Capitol Hill,https://www.apartments.com/ava-capitol-hill-seattle-wa/5whybzq/,,1530 Belmont Ave,Seattle,WA,98122,US,,,USD,,,,,Takes 18.6 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
M Street,https://www.apartments.com/m-street-seattle-wa/r2e3h72/,,910 8th Ave,Seattle,WA,98104,US,,,USD,,,,,Takes 18.6 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
The Edge,https://www.apartments.com/the-edge-seattle-wa/zw5r1fw/,2067373072,3101 SW Avalon Way,Seattle,WA,98126,US,,,USD,,,,,Takes 19.7 mins to the nearest Microsoft shuttle stop at 4400 42nd Ave SW,
AMLI Waterfront,https://www.apartments.com/amli-waterfront-seattle-wa/ykgx3qr/,,50 University St,Seattle,WA,98101,US,,,USD,,,,,Takes 19.9 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
